Source,leaning,leaning_numeric
ABC,L,2
TheAtlantic,L,2
BBC,M,3
BostonGlobe,L,2
BusinessInsider,M,3
Buzzfeed,L,2
CBS,L,2
ChicagoTribune,M,3
CNN,M,3
DailyBeast,M,3
DailyMail,RR,5
FoxNews,RR,5
Guardian,L,2
HuffPost,LL,1
LATimes,L,2
NBC,L,2
NPR,M,3
NYDailyNews,LL,1
NYPost,RR,5
NYTimes,L,1
Salon,LL,2
SFGate,L,2
Slate,L,2
Telegraph,R,4
The Blaze,RR,5
Time,LL,1
Upworthy,LL,1
USAToday,M,3
USNews,L,2
Vox,L,2
WashingtonPost,L,2
Yahoo,L,2
