ArticleID,Source,race,race_w2v,cigarillos,cigarillos_w2v,youth,youth_w2v,egal_w2v,ind_w2v,protest,riot,michael_brown,dead_blacks,n_words
daily73,DailyMail,3.0,0.12437040221,0.0,0.0599225393496,0.0,0.0938081464624,0.0926967145338,0.103186839711,6,1,3,0,1363
daily74,DailyMail,5.0,0.124500481566,0.0,0.0477146799194,0.0,0.0964202902511,0.10097382075,0.108492153529,5,1,1,0,785
daily75,DailyMail,8.0,0.124848295073,0.0,0.0542378845337,0.0,0.0973255536535,0.102868715893,0.11318372533,15,3,13,0,3165
daily76,DailyMail,3.0,0.127506274183,0.0,0.0559240262543,0.0,0.106266525754,0.108237433827,0.121637680723,1,2,1,0,1217
daily77,DailyMail,0.0,0.129547198181,0.0,0.0490730245021,0.0,0.0933852993203,0.101403029858,0.105519110144,0,0,1,0,344
daily78,DailyMail,2.0,0.121099982021,0.0,0.0526978170577,0.0,0.0974123617396,0.101651796889,0.110222303124,1,0,3,0,882
daily79,DailyMail,12.0,0.133750716647,0.0,0.0575019520956,0.0,0.101214484742,0.111675380708,0.123309233411,0,2,1,0,889
daily80,DailyMail,2.0,0.11860179541,0.0,0.0519826728248,0.0,0.0937423935829,0.0936105150231,0.106547506172,5,2,1,0,529
daily81,DailyMail,5.0,0.132483260002,0.0,0.0550636702322,0.0,0.101214976975,0.1116351678,0.126050821343,5,0,0,0,976
daily82,DailyMail,9.0,0.120794091905,0.0,0.0512298066551,0.0,0.0954765184005,0.103890141183,0.112525690534,3,0,1,0,2264
daily83,DailyMail,2.0,0.119282107141,0.0,0.0471687241985,0.0,0.0988364995421,0.0910873742622,0.0903540271927,9,1,0,0,383
daily84,DailyMail,2.0,0.13320985221,0.0,0.0626870845767,0.0,0.10990055082,0.114565055447,0.138473029229,0,1,1,0,889
daily85,DailyMail,16.0,0.120296939248,0.0,0.0547252871308,0.0,0.0939624867975,0.101198062357,0.11177642024,26,5,5,0,3612
daily86,DailyMail,3.0,0.121085259342,0.0,0.0559487799121,0.0,0.0946926256019,0.1017546315,0.109744341194,12,2,1,0,1220
daily87,DailyMail,5.0,0.123427785328,0.0,0.0484085360616,0.0,0.0918800285051,0.0985469459842,0.105668803808,7,0,2,0,802
daily88,DailyMail,17.0,0.120814945135,0.0,0.0549284722325,0.0,0.0942507032743,0.102640147659,0.112999552535,28,6,7,0,4070
daily89,DailyMail,5.0,0.124792604199,0.0,0.0681919619907,0.0,0.0973894020168,0.103026533043,0.117510417168,0,0,2,0,1205
daily90,DailyMail,2.0,0.147055703261,0.0,0.057123370741,0.0,0.105010183544,0.0964307098824,0.106164426397,2,0,0,0,115
daily91,DailyMail,6.0,0.134262616715,0.0,0.0572255320713,0.0,0.105130660008,0.110822431846,0.126780137195,10,0,1,0,885
daily92,DailyMail,9.0,0.12351531906,0.0,0.0591185959072,0.0,0.111166418374,0.104956156949,0.118133201634,2,0,0,0,776
daily93,DailyMail,6.0,0.133236898683,0.0,0.0659281331771,0.0,0.101378344741,0.102615487753,0.115653465072,2,2,3,0,716
daily94,DailyMail,1.0,0.09514816758,0.0,0.0371640890022,0.0,0.0787868381735,0.0844302867857,0.0862822731994,0,0,1,0,417
daily95,DailyMail,0.0,0.115077895207,0.0,0.0605479784006,0.0,0.0938784224996,0.0849531666449,0.0936597525093,6,2,1,0,577
daily96,DailyMail,14.0,0.121829168903,0.0,0.0460163302398,0.0,0.089665323664,0.104901293222,0.11598076058,7,0,3,0,2512
daily97,DailyMail,3.0,0.125620473036,0.0,0.0476680094335,0.0,0.09664631161,0.111107118645,0.125029200615,5,0,1,0,646
daily98,DailyMail,5.0,0.118537118185,0.0,0.0482747636993,0.0,0.0902435523807,0.0987948124938,0.106056485285,22,1,9,0,2114
daily99,DailyMail,3.0,0.120887725863,0.0,0.0579618903278,0.0,0.0974084466435,0.0970071485279,0.105423203881,1,0,1,0,398
daily100,DailyMail,1.0,0.11788995645,0.0,0.0487205852543,0.0,0.0956183163541,0.0998741615159,0.110977212518,4,0,5,0,1617
daily101,DailyMail,7.0,0.122052046608,0.0,0.0594864693483,0.0,0.10471841094,0.105216660421,0.114228272525,2,0,0,0,551
daily102,DailyMail,7.0,0.123655490358,0.0,0.0548636034925,0.0,0.0959081711502,0.095035526318,0.101506329917,8,1,1,0,1180
daily103,DailyMail,4.0,0.10195416593,0.0,0.035344797123,0.0,0.0811951147912,0.0881953418649,0.0912833240354,2,0,0,0,403
daily104,DailyMail,12.0,0.129640279391,0.0,0.0496679960009,0.0,0.0961058254968,0.103869581511,0.117420588625,1,0,2,0,1399
daily105,DailyMail,0.0,0.112267106344,0.0,0.0557097067873,0.0,0.0927879174218,0.0920046468004,0.112672535492,2,0,1,0,422
daily106,DailyMail,0.0,0.0993987101972,0.0,0.0407892430599,0.0,0.0934666379852,0.0849138065571,0.10344936105,0,1,1,0,150
daily107,DailyMail,2.0,0.123777529418,0.0,0.0523411553276,0.0,0.106408584337,0.0867815335558,0.0972517549136,0,0,1,0,144
daily108,DailyMail,0.0,0.0989588781968,0.0,0.0438332131039,0.0,0.0926601122241,0.0791172500764,0.0821821641971,0,0,1,0,218
daily109,DailyMail,2.0,0.127412266581,0.0,0.057689965926,0.0,0.102508656847,0.105808943318,0.118008697784,4,0,7,0,1781
daily110,DailyMail,2.0,0.116823460958,0.0,0.0473776645866,0.0,0.0886362225663,0.107982213308,0.109847982011,1,1,0,0,1141
daily111,DailyMail,10.0,0.13320920093,0.0,0.0471912198542,0.0,0.0991507543739,0.122556128073,0.127353910119,3,0,2,0,1723
daily112,DailyMail,1.0,0.125290456196,0.0,0.0649095290861,0.0,0.103981968989,0.103385770028,0.119282801011,2,0,2,0,1146
daily113,DailyMail,13.0,0.154226480005,0.0,0.0527286256949,0.0,0.0957135954621,0.123899674932,0.129596583097,3,3,1,0,572
daily114,DailyMail,3.0,0.129133392643,0.0,0.0532771389871,0.0,0.105664568848,0.0877387926858,0.0921477389343,1,0,1,0,146
daily115,DailyMail,0.0,0.111389540447,0.0,0.0475299072553,0.0,0.0916855721089,0.0857509024558,0.0877363504902,2,0,1,0,150
daily116,DailyMail,0.0,0.125810978675,0.0,0.042327346113,0.0,0.0932774551486,0.10028223562,0.101478812789,0,1,1,0,198
daily117,DailyMail,11.0,0.127722883446,0.0,0.0485346194895,0.0,0.0970175414421,0.103664307542,0.112931254955,2,0,2,0,983
daily118,DailyMail,1.0,0.106539137553,0.0,0.0397556334211,0.0,0.0918519983423,0.0838117621769,0.0943984094072,4,0,1,0,125
daily119,DailyMail,0.0,0.116540090065,0.0,0.0391972953407,0.0,0.093043949932,0.0797431735433,0.0889699600274,0,0,1,0,151
daily120,DailyMail,1.0,0.124648105222,0.0,0.0466138500967,0.0,0.0902099610294,0.122722856057,0.128290605994,0,0,0,0,1012
daily121,DailyMail,10.0,0.137660911571,0.0,0.0484651793069,0.0,0.105003588248,0.114582554542,0.118964872354,4,0,1,0,978
daily122,DailyMail,1.0,0.128383988236,0.0,0.0654893954776,0.0,0.118120891786,0.118020764028,0.139930530196,1,0,0,0,505
daily123,DailyMail,3.0,0.13078001035,0.0,0.0449174349121,0.0,0.092655007673,0.0990828377183,0.108499502446,2,0,1,0,155
daily124,DailyMail,2.0,0.113536519294,0.0,0.0352340427604,0.0,0.0965233092359,0.0905242502966,0.101341900998,2,3,1,0,829
daily125,DailyMail,11.0,0.125542748021,0.0,0.051049770026,0.0,0.0945439693811,0.103827895824,0.115227626789,16,2,9,0,2610
daily126,DailyMail,8.0,0.127612117109,0.0,0.0532415926618,0.0,0.100483650249,0.103110952676,0.119298785323,4,0,8,0,1636
daily127,DailyMail,2.0,0.104236037512,0.0,0.0415850431825,0.0,0.0918870298898,0.0861740679339,0.088580513965,0,0,0,0,153
daily128,DailyMail,0.0,0.107103526255,0.0,0.0451048617435,0.0,0.0975023965342,0.0830246248926,0.0966046429036,3,0,1,0,155
daily129,DailyMail,5.0,0.126351678251,0.0,0.0578298187549,0.0,0.10993810937,0.0825919000998,0.0919383011168,0,0,0,0,156
daily130,DailyMail,1.0,0.123974594386,0.0,0.0471984171842,0.0,0.105617629738,0.11012814642,0.12824514618,2,0,3,0,500
daily131,DailyMail,0.0,0.117901104211,0.0,0.0508211744489,0.0,0.0986077782098,0.100464179816,0.107851416298,8,0,2,0,1123
daily132,DailyMail,9.0,0.123681079371,0.0,0.0518904683517,0.0,0.0833729335238,0.107610847565,0.120859258138,17,1,2,0,1267
daily133,DailyMail,4.0,0.105989770792,0.0,0.0404863693512,0.0,0.0748889070406,0.0961796042329,0.095206556224,1,0,0,0,412
daily134,DailyMail,21.0,0.121855415741,0.0,0.0549071109228,0.0,0.0882356972149,0.101098499174,0.109529893709,6,0,3,0,2711
daily135,DailyMail,1.0,0.123241234892,0.0,0.060849482265,0.0,0.101664117819,0.101274381835,0.118657335034,2,0,3,0,1452
daily136,DailyMail,18.0,0.126474767656,0.0,0.0455124599741,0.0,0.0814105180457,0.112684067174,0.121651743619,16,0,2,0,1202
daily137,DailyMail,22.0,0.156872389438,0.0,0.0532048526121,0.0,0.0941599650541,0.127248483887,0.132602989489,5,3,1,0,1025
daily138,DailyMail,0.0,0.121288178216,0.0,0.0546408158452,0.0,0.0951210813171,0.0932422623412,0.115356993984,0,0,0,0,204
daily139,DailyMail,1.0,0.130005805757,0.0,0.0607154050594,0.0,0.106647497713,0.117150119076,0.139033792688,1,1,3,0,1549
daily140,DailyMail,2.0,0.120398448502,0.0,0.0507518118642,0.0,0.0955838839438,0.0925706521739,0.109383045889,4,0,2,0,487
daily141,DailyMail,10.0,0.144731747143,0.0,0.0519512275939,0.0,0.1013249546,0.123099078843,0.130846306988,1,0,1,0,969
daily142,DailyMail,13.0,0.135844048302,0.0,0.0522907717706,0.0,0.0980070637522,0.116030457124,0.126282338001,1,1,3,0,1118
daily143,DailyMail,0.0,0.112574824231,0.0,0.0510011670633,0.0,0.103395062719,0.102064809262,0.122489767213,3,0,1,0,160
daily144,DailyMail,1.0,0.121836815109,0.0,0.035080163188,0.0,0.100516581417,0.0893993400438,0.101388008808,1,0,1,0,148
daily145,DailyMail,13.0,0.144953241524,0.0,0.0490507173489,0.0,0.0967404115564,0.109307887335,0.115824166871,3,1,1,0,1009
daily146,DailyMail,2.0,0.120915329544,0.0,0.0548938550244,0.0,0.0925472313877,0.0891307850357,0.0976894814175,4,0,3,0,731
daily147,DailyMail,8.0,0.125936108009,0.0,0.0611154213822,0.0,0.11093363139,0.0955514821633,0.106486810643,0,0,0,0,454
daily148,DailyMail,2.0,0.124669147964,0.0,0.0429422676923,0.0,0.0957653397237,0.0917664741209,0.0992940752404,0,0,1,0,129
daily149,DailyMail,3.0,0.130855708521,0.0,0.0478469823586,0.0,0.0933438552142,0.106174214732,0.116258181741,1,1,1,0,551
daily150,DailyMail,3.0,0.139586980194,0.0,0.047604172282,0.0,0.109202053576,0.110104575261,0.114167900795,1,1,1,0,144
daily151,DailyMail,0.0,0.11832400723,0.0,0.0375137186529,0.0,0.104701256467,0.0908525121003,0.101912222523,0,0,1,0,155
daily152,DailyMail,2.0,0.116348858037,0.0,0.0563253418326,0.0,0.0950209145444,0.088509178611,0.096079156253,2,0,1,0,362
daily153,DailyMail,1.0,0.134000087018,0.0,0.0726252354224,0.0,0.105439919476,0.116408763776,0.133953527907,0,0,1,0,401
daily154,DailyMail,3.0,0.112345180938,0.0,0.0487338920096,0.0,0.0902256770122,0.0992524711461,0.114754301974,2,0,1,0,743
daily155,DailyMail,1.0,0.127942607143,0.0,0.0290827965561,0.0,0.093377643846,0.102325032538,0.103837772177,0,0,2,0,506
daily156,DailyMail,2.0,0.121242514653,0.0,0.05332529758,0.0,0.103741808604,0.103215606959,0.123472479506,4,0,1,0,380
daily157,DailyMail,6.0,0.125702707253,0.0,0.0462323231914,0.0,0.0940045911227,0.0992614888701,0.102843163212,3,1,1,1,899
daily158,DailyMail,3.0,0.0959238876241,0.0,0.0421602664364,0.0,0.0742280341121,0.0922304320853,0.0940546677182,1,0,0,0,363
